model_name,cv_folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,rows,num_classes
extra_trees,10,0.9932584269662922,0.005504471332097042,0.9932305031571405,0.005527277174466682,0.993254720580226,0.0055074991167512,890,2
random_forest,10,0.9921348314606743,0.0071945216150931055,0.9920980497233798,0.007233612501780583,0.992127983532947,0.007203975430983472,890,2
decision_tree,10,0.9910112359550564,0.008408218846683035,0.990989612266689,0.008426931906882068,0.9910137907545993,0.008405260626318953,890,2
sgd_log_loss,10,0.9876404494382023,0.00933328523923379,0.9875836650256173,0.009401185379894315,0.9876292937169829,0.009356755397089758,890,2
linear_svc_calibrated,10,0.9820224719101123,0.007453089416528983,0.981971810049773,0.007463884594960714,0.9820244538340697,0.007447173520093505,890,2
linear_svc_raw,10,0.9786516853932584,0.007865168539325828,0.978575032875878,0.007894118619492635,0.9786448192726889,0.007867805642809415,890,2
sgd_hinge,10,0.9752808988764045,0.013103262685045603,0.9751409425764882,0.013207284944635236,0.9752422928715548,0.0131400526577228,890,2
ridge_classifier,10,0.9730337078651685,0.010297922910013099,0.9729102454839771,0.010354907524875771,0.9730114460766698,0.010311896108421465,890,2
logistic_regression_balanced,10,0.9640449438202248,0.014033703367187404,0.9637679890803053,0.014192125405113422,0.9639438752245656,0.014107681251233288,890,2
logistic_regression_l2_alt,10,0.9584269662921349,0.0194936534526938,0.9581535511725454,0.01965926944450554,0.9583420668351987,0.019558085674211335,890,2
bernoulli_nb,10,0.957303370786517,0.01573033707865167,0.9570869849854502,0.015889156715268107,0.9572524704528556,0.015797762391305717,890,2
complement_nb,10,0.9348314606741575,0.021199957600127207,0.9341129295065935,0.02147072209061367,0.9344932697498738,0.021337922894147442,890,2
multinomial_nb,10,0.9303370786516855,0.021199957600127207,0.9293058124820563,0.021763505897116873,0.9297770445191247,0.02156358829548397,890,2
